date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:34	48005/48005	---M-Z	200	added ('OK')	text/html	etag:%22bb85-64948000-b6c3f15c958765f1;gz%22	https://wpriverthemes.com/HTML/drake/index.html	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/index.html	(from )
17:53:34	114/114	---M-Z	200	added ('OK')	text/plain	date:Tue,%2028%20Jul%202026%2012:23:34%20GMT	https://wpriverthemes.com/robots.txt		(from )
17:53:35	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-642a65bb-27b307c2095c6bfa;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/favicon.png	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:35	107902/107902	---MCZ	200	added ('OK')	text/css	etag:W/%221a57e-m/ufJj2eAiPapDT36d69nG4R6Hc%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	D:/mytemplate/drake%20porfolio/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:36	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-642a65be-f9da592a4983c5b8;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:37	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-642a65be-b32866edaea7c73;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:37	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-642a65be-95ddda5b1e8a128;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:37	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-642a65be-9238dc30f6fccc01;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/animate.min.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:38	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-642a65be-afc1ac1e2cafea57;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:53:38	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%229e4-642a65bf-36b2edd8028303cd;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	D:/mytemplate/drake%20porfolio/wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
